fecha_extraccion_utc,fuente,pagina_fuente,termino_busqueda,producto_original,producto_canonico,precio_mxn,precio_anterior_mxn,esta_en_promocion,unidad_detectada,precio_estimado_por_kg_mxn,peso_presentacion_kg,tipo_unidad_venta,peso_promedio_kg
2026-03-26T17:22:37.170863+00:00,walmart_mx,https://www.walmart.com.mx/ip/zanahoria-por-kilo/00000000004094?athbdg=L1300,zanahoria,Zanahoria por kilo,zanahoria,13.0,26.9,True,kg,13.0,,EACH_WEIGHT,0.14
2026-03-26T17:22:39.323563+00:00,walmart_mx,https://www.walmart.com.mx/ip/cebolla-blanca-por-kilo/00000000004663?athbdg=L1300,cebolla,Cebolla Blanca por kilo,cebolla,22.5,39.9,True,kg,22.5,,EACH_WEIGHT,0.335
2026-03-26T17:22:48.566507+00:00,walmart_mx,https://www.walmart.com.mx/ip/papa-blanca-alfa-por-kilo/00000000004083?athbdg=L1300,papa,Papa blanca alfa por kilo,papa,28.9,59.9,True,kg,28.9,,EACH_WEIGHT,0.265
2026-03-26T17:22:46.186079+00:00,walmart_mx,https://www.walmart.com.mx/ip/mango-paraiso-por-kilo/00000000004959?athbdg=L1300,mango,Mango paraíso por kilo,mango,35.0,74.0,True,kg,35.0,,EACH_WEIGHT,0.535
2026-03-26T17:22:43.004364+00:00,walmart_mx,https://www.walmart.com.mx/ip/limon-sin-semilla-por-kilo/00000000004048?athbdg=L1300,limon,Limón sin semilla por kilo,limon,44.0,74.0,True,kg,44.0,,EACH_WEIGHT,0.073
2026-03-26T17:22:29.140491+00:00,walmart_mx,https://www.walmart.com.mx/ip/jitomate-saladet-por-kilo/00000000004087?athbdg=L1300,aguacate,Jitomate saladet por kilo,tomate,49.0,56.0,True,kg,49.0,,EACH_WEIGHT,0.106
2026-03-26T17:22:43.937776+00:00,walmart_mx,https://www.walmart.com.mx/ip/penca-de-platano-chiapas-por-kilo/00000000004011,platano,Penca de plátano Chiapas por kilo,platano,27.9,,False,kg,27.9,,EACH_WEIGHT,1.18
2026-03-26T17:22:29.140491+00:00,walmart_mx,https://www.walmart.com.mx/ip/aguacate-hass-por-kilo/00000000004225,aguacate,Aguacate Hass por kilo,aguacate,49.9,,False,kg,49.9,,EACH_WEIGHT,0.265
2026-03-26T17:22:35.197371+00:00,walmart_mx,https://www.walmart.com.mx/ip/granos-de-elote-great-value-en-lata-430-g/00007874272651?athbdg=L1300,elote,Granos de elote Great Value en lata 430 g,elote,16.0,17.0,True,g_pack,37.2093,0.43,EACH,
2026-03-26T17:22:41.558825+00:00,walmart_mx,https://www.walmart.com.mx/ip/chiles-jalapenos-herdez-enteros-en-escabeche-390-g/00750100311350?athbdg=L1510,jalapeno,Chiles Jalapeños Herdez Enteros en Escabeche 390 g,chile_jalapeno,17.0,23.0,True,g_pack,43.5897,0.39,EACH,
