fecha_extraccion_utc,fuente,pagina_fuente,termino_busqueda,producto_original,producto_canonico,precio_mxn,precio_anterior_mxn,esta_en_promocion,unidad_detectada,precio_estimado_por_kg_mxn,peso_presentacion_kg,tipo_unidad_venta,peso_promedio_kg,marca_original,ruta_categoria,es_producto_fresco
2026-04-08T03:15:29.698845+00:00,walmart_mx,https://www.walmart.com.mx/ip/zanahoria-por-kilo/00000000004094?athbdg=L1600,zanahoria,Zanahoria por kilo,zanahoria,19.0,26.9,True,kg,19.0,,EACH_WEIGHT,0.14,Frutas Y Verduras Frescas,"Frutas y Verduras > Verduras > Pepinos, zanahorias y jícamas",True
2026-04-08T03:15:38.437652+00:00,walmart_mx,https://www.walmart.com.mx/ip/penca-de-platano-chiapas-por-kilo/00000000004011?athbdg=L1600,platano,Penca de plátano Chiapas por kilo,platano,22.0,35.0,True,kg,22.0,,EACH_WEIGHT,1.343,Frutas Y Verduras Frescas,"Frutas y Verduras > Frutas > Plátanos, papayas y tropicales",True
2026-04-08T03:15:31.141584+00:00,walmart_mx,https://www.walmart.com.mx/ip/cebolla-blanca-en-malla-por-kilo/00000000004668?athbdg=L1300,cebolla,Cebolla blanca en malla por kilo,cebolla,23.0,29.9,True,kg,23.0,,EACH,,Frutas Y Verduras Frescas,"Frutas y Verduras > Verduras > Cebollas, papas y verduras de raíz",True
2026-04-08T03:15:40.452577+00:00,walmart_mx,https://www.walmart.com.mx/ip/mango-paraiso-por-kilo/00000000004959?athbdg=L1300,mango,Mango paraíso por kilo,mango,26.0,74.0,True,kg,26.0,,EACH_WEIGHT,0.535,Frutas Y Verduras Frescas,Frutas y Verduras > Frutas > Frutas de temporada y exóticas,True
2026-04-08T03:15:32.038155+00:00,walmart_mx,https://www.walmart.com.mx/ip/chile-jalapeno-por-kilo/00000000004693?athbdg=L1300,chile jalapeno por kilo,Chile Jalapeño por kilo,chile_jalapeno,39.0,45.0,True,kg,39.0,,EACH_WEIGHT,0.056,Frutas Y Verduras Frescas,"Frutas y Verduras > Verduras > Chiles, ajos y pimientos",True
2026-04-08T03:15:42.734357+00:00,walmart_mx,https://www.walmart.com.mx/ip/papa-cambray-por-kilo/00000000004728?athbdg=L1300,papa,Papa cambray por kilo,papa,49.9,54.0,True,kg,49.9,,EACH_WEIGHT,0.038,Frutas Y Verduras Frescas,"Frutas y Verduras > Verduras > Cebollas, papas y verduras de raíz",True
2026-04-08T03:15:20.186881+00:00,walmart_mx,https://www.walmart.com.mx/ip/aguacate-hass-por-kilo/00000000004225?athbdg=L1600,aguacate,Aguacate Hass por kilo,aguacate,54.0,69.0,True,kg,54.0,,EACH_WEIGHT,0.183,Frutas Y Verduras Frescas,"Frutas y Verduras > Verduras > Jitomates, aguacates y básicos",True
2026-04-08T03:15:21.923686+00:00,walmart_mx,https://www.walmart.com.mx/ip/jitomate-saladet-por-kilo/00000000004087?athbdg=L1600,jitomate,Jitomate saladet por kilo,tomate,59.0,65.0,True,kg,59.0,,EACH_WEIGHT,0.1,Frutas Y Verduras Frescas,"Frutas y Verduras > Verduras > Jitomates, aguacates y básicos",True
2026-04-08T03:15:37.562945+00:00,walmart_mx,https://www.walmart.com.mx/ip/limon-agrio-por-kilo/00000000004305?athbdg=L1600,limon,Limón agrio por kilo,limon,59.0,,False,kg,59.0,,EACH_WEIGHT,0.025,Frutas Y Verduras Frescas,"Frutas y Verduras > Frutas > Naranja, limón y cítricos",True
2026-04-08T03:15:25.900788+00:00,walmart_mx,https://www.walmart.com.mx/ip/elote-blanco-por-pieza/00000000004077?athbdg=L1300,elote por pieza,Elote blanco por pieza,elote,14.9,16.9,True,pieza,,,EACH,,Frutas Y Verduras Frescas,"Frutas y Verduras > Verduras > Jitomates, aguacates y básicos",True
